district,samiti,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
AJMER,BHINAY,sobari,Sobdi,33650,0.17777777777777778,2,strict
AJMER,MASOODA,badi,Bari,33751,0.1666666666666667,2,strict
ALWAR,BEHROR,khoher,Khohar,33916,0.11111111111111106,2,strict
BHARATPUR,BAYANA,navli,Naroli,35283,0.17777777777777778,2,strict
BHARATPUR,DEEG,sanwai,Samai,35327,0.17777777777777778,2,strict
BHARATPUR,KUMHER,uwar,Ubar,35411,0.1666666666666667,2,strict
BIKANER,SRI DUNGARGARH,punrasar,Poonrasar,36202,0.11574074074074082,2,strict
BIKANER,NOKHA,mansuri,Mainsar,36160,0.19047619047619044,2,strict
DHAULPUR,DHAULPUR,dubra,Doobra,37330,0.17777777777777778,2,strict
DUNGARPUR,SAGWARA,mandawa,Mandav,37565,0.1507936507936509,2,strict
GANGANAGAR,ANUPGARH,12 gb,12 A-B,295075,0.13333333333333336,3,strict
GANGANAGAR,ANUPGARH,15 bld,15 Ab,37660,0.17777777777777778,2,strict
JAISALMER,SAM,rama,Raimala,38777,0.142857142857143,2,strict
JAISALMER,SANKRA,bhaniyana,Bhadriya,294266,0.19444444444444453,2,strict
JALOR,AHORE,norva,Norwa,38858,0.13333333333333336,2,strict
JALOR,JASWANTPURA,gejapura,Gajapura,38943,0.130952380952381,2,strict
JALOR,SAYLA,asana,Posana,39051,0.17777777777777778,3,strict
KARAULI,SAPOTRA,batda,Bagida,40084,0.17777777777777778,2,strict
NAGAUR,KUCHAMAN CITY,ruppura,Prempura,40525,0.18650793650793648,2,strict
RAJSAMAND,RAJSAMAND,farara,Bararda,41295,0.1507936507936509,2,strict
SAWAI MADHOPUR,GANGAPUR CITY,hirapur,Heerapur,41407,0.130952380952381,2,strict
SAWAI MADHOPUR,SAWAI MADHOPUR,bhedola,Badolas,41475,0.19047619047619044,2,strict
SIROHI,REODAR,mandar,Anadra,41907,0.17777777777777778,2,strict
UDAIPUR,SARADA,kharbar,Kharbar A,262751,0.07407407407407415,2,strict
